Ticker,Company Name,Stock Exchange,Domiciled,Mine Location Country,Mine Location State,Company_Type,Primary_Assets,Secondary_Assets,Notes
U-U.TO,Sprott Physical Uranium Trust USD,TSX,Canada,Canada — fund domicile,N/A,Physical Trust,Same as U.UN — USD class,Primary,USD-denominated class of SPUT; same underlying physical uranium holdings; settles in USD for non-CAD investors; equivalent fund to U.UN
SRUUF,Sprott Physical Uranium Trust,OTC,Canada,Canada — fund domicile,N/A,Physical Trust,Same as U.UN — OTC version,Primary,US OTC version of SPUT for US retail investors without Canadian brokerage access; pink-sheet liquidity but tracks NAV
YCA.L,Yellow Cake plc,LSE (AIM),UK,UK — fund domicile,N/A — physical uranium · Multiple licensed converter storage facilities,Physical Trust,Holds physical U3O8 (~21.7 Mlbs as of 2025); long-term option agreement to buy from Kazatomprom at spot,Primary,UK-listed physical uranium fund; ~US$1B NAV; AIM-listed (YCA); long-term offtake agreement with Kazatomprom (right to buy up to US$100M U3O8/yr at spot); typically trades at NAV discount
YLLXF,Yellow Cake plc,OTC,UK,UK — fund domicile,N/A,Physical Trust,Same as LSE:YCA — OTC version,Primary,US OTC ADR for Yellow Cake plc; thin liquidity vs LSE primary
URC.TO,Uranium Royalty Corp,TSX,Canada,Canada,Multiple,Royalty/Streaming,"Royalty and streaming portfolio (~20 royalties, including McArthur River + Cigar Lake exposure); physical U holdings",Primary,Only pure-play uranium royalty company; royalty + streaming model on producing + development assets; physical U3O8 holdings (~2.5 Mlbs); financed by Sprott; mkt cap ~C$700M
UROY,Uranium Royalty Corp,NASDAQ,Canada,Canada,Multiple,Royalty/Streaming,Same as TSX:URC,Primary,US-listed equivalent of Uranium Royalty Corp (NASDAQ); allows US retail investors direct access without TSX brokerage
COSA.V,Cosa Resources,TSX.V,Canada,Canada,Saskatchewan,Explorer,"Multiple eastern Athabasca Basin projects — Ursa, Orion, Castor, Charcoal, Helios, Murphy Lake North, Darby (JVs with Denison Mines)",Primary,"Eastern Athabasca uranium explorer with multiple JVs with Denison Mines (Murphy Lake North, Darby, Packrat); ~237,000 ha portfolio; Cosa team includes Hurricane discovery alumni (IsoEnergy); Denison CEO David Cates joined as Strategic Advisor Oct 2025; FSE listing as SSKU; mkt cap ~C$50M"
COSAF,Cosa Resources,OTCQB,Canada,Canada,Saskatchewan,Explorer,Same as TSX.V:COSA,Primary,US OTCQB dual listing of Cosa Resources (TSX.V:COSA); same company; Athabasca Basin explorer focused on Murmac and Ursa projects
AERO.V,Aero Energy / Manhattan Uranium Discovery,TSX.V,Canada,Canada; USA,Saskatchewan; Nevada,Explorer,"Murmac + Strike + Sun Dog projects (Athabasca Basin north rim, Saskatchewan) — ~250,000 acre district-scale package; Apex + Huber Hills properties (Nevada — past-producing US uranium)",Primary,"Athabasca + Nevada uranium explorer; first-ever drill program 2024 hit 13.80% U3O8 over 0.5m on Sun Dog property; PENDING THREE-WAY ROLLUP (definitive agreements Mar 2026): Aero acquiring Urano Energy (CSE:UE) + Pegasus Resources (TSXV:PEGA); combined company will be renamed ""Manhattan Uranium Discovery"" with new ticker MANU; consolidates Athabasca + US Wyoming/Utah portfolio; expected close 2026"
AAUGF,Aero Energy,OTC,Canada,Canada; USA,Saskatchewan; Nevada,Explorer,Same as TSX.V:AERO,Primary,US OTC pink-sheet version of Aero Energy; will become Manhattan Uranium Discovery Corp post-rollup
BEEP.V,Geiger Energy Corporation,TSX.V,Canada,Canada,Saskatchewan,Explorer,ACKIO near-surface uranium discovery at Hook project (adjacent to Athabasca Basin) — multiple uranium pods identified,Primary,"Athabasca Basin + Thelon Basin uranium explorer; renamed from Baselode Energy Corp post Aug 29 2025 acquisition of Forum Energy Metals (FMC.V); flagship Aberdeen Project Nunavut (Thelon Basin) hosting Tatiggaq discovery + Hook Project Saskatchewan (ACKIO target); new TSXV ticker BEEP after Sep 2025 rebrand; CEO Rebecca Hunter (former Forum CEO, ex-Cameco geologist); ~$12M cash position; 291.6M shares outstanding; backed by Ore Group"
